playerFirstName,playerLastName,playerId,age,seasonId,shoots,playerPositionCode,playerTeamsPlayedFor,gamesPlayed,goals,assists,shots,plusMinus,penaltyMinutes,timeOnIcePerGame,shiftsPerGame,
Sam,Carrick,8475842,24.2328767123,20152016,R,C,TOR,3,0,0,4,-2,4,688.0,18.6666,
Kerby,Rychel,8477510,21.5589041096,20152016,L,L,CBJ,32,2,7,32,5,15,570.8437,13.9687,
Iiro,Pakarinen,8476336,24.6794520548,20152016,R,R,EDM,63,5,8,76,-10,8,644.9047,16.7142,
Josh,Leivo,8476410,22.9260273973,20152016,R,L,TOR,12,5,0,20,2,6,739.0,17.0,
Cedric,Paquette,8476975,22.7095890411,20152016,L,C,TBL,56,6,5,50,-2,51,764.3571,17.2321,
Dustin,Brown,8470606,31.4876712329,20152016,R,R,LAK,82,11,17,218,-5,30,970.4024,21.6341,
Tyson,Strachan,8470729,31.501369863,20152016,R,D,MIN,2,0,0,0,1,0,453.0,10.5,
John,McFarland,8475756,24.0739726027,20152016,R,L,FLA,3,0,0,2,-1,0,594.6666,16.3333,
Stefan,Noesen,8476474,23.2082191781,20152016,R,R,ANA,1,0,0,0,0,0,602.0,17.0,
Ben,Hutton,8477018,23.0246575342,20152016,L,D,VAN,75,1,24,104,-21,14,1192.4,26.24,
Alex,Chiasson,8475163,25.5780821918,20152016,R,R,OTT,77,8,6,88,2,45,818.2467,20.2467,
Mark,Arcobello,8476062,27.7150684932,20152016,R,R,TOR,20,3,1,43,0,0,760.65,19.85,
Peter,Holland,8475180,25.2904109589,20152016,L,C,TOR,65,9,18,138,-16,28,879.9538,20.6,
Yannick,Weber,8474134,27.6,20152016,R,D,VAN,45,0,7,65,-17,24,1129.8,25.2888,
Landon,Ferraro,8475157,24.7260273973,20152016,R,C,DET|BOS,68,5,5,77,-11,27,636.6764,15.4411,
Teddy,Purcell,8473962,30.6438356164,20152016,R,R,EDM|FLA,76,14,29,149,-11,12,1009.7894,22.3157,
Viktor,Svedberg,8477300,24.9342465753,20152016,L,D,CHI,27,2,2,40,-5,4,945.1851,22.7037,
Justin,Schultz,8474602,25.8164383562,20152016,R,D,EDM|PIT,63,4,14,82,-15,16,1106.6825,24.238,
Duncan,Keith,8470281,32.7945205479,20152016,L,D,CHI,67,9,34,130,13,26,1514.1194,30.791,
Travis,Hamonic,8474612,25.704109589,20152016,R,D,NYI,72,5,16,147,-5,35,1429.4166,25.1111,
Josh,Manson,8476312,24.5616438356,20152016,R,D,ANA,71,5,10,88,11,74,1126.9436,23.845,
Anton,Stralman,8471873,29.7479452055,20152016,R,D,TBL,73,9,25,127,16,20,1324.6575,25.0958,
Patrick,Brown,8477887,23.9178082192,20152016,R,C,CAR,7,1,1,8,4,4,756.2857,18.1428,
Mark,Scheifele,8476460,23.1232876712,20152016,R,C,WPG,71,29,32,194,16,48,1112.9295,23.1126,
Zack,Kassian,8475178,25.2630136986,20152016,R,R,EDM,36,3,5,42,-7,114,747.1111,16.6388,
Tomas,Jurco,8476430,23.3342465753,20152016,L,R,DET,44,4,2,43,-6,16,550.9772,13.3863,
Michael,Kostka,8474497,30.4219178082,20152016,R,D,OTT,15,0,1,9,6,4,890.8666,19.6,
Brad,Stuart,8467331,36.4876712329,20152016,L,D,COL,6,0,0,0,-2,0,840.0,21.1666,
Chris,Wagner,8475780,24.9260273973,20152016,R,C,ANA|COL|ANA,43,4,2,55,-2,28,549.3023,13.3953,
Jason,Zucker,8475722,24.2849315068,20152016,L,L,MIN,71,13,10,158,-4,20,934.7464,19.8591,
Hampus,Lindholm,8476854,22.2712328767,20152016,L,D,ANA,80,10,18,149,7,40,1320.1125,26.25,
Brad,Hunt,8476779,27.6821917808,20152016,L,D,EDM,7,0,0,12,-1,2,850.7142,18.5714,
Tyler,Randell,8475292,24.8739726027,20152016,R,R,BOS,27,6,0,18,-2,47,418.9629,10.1851,
