playerFirstName,playerLastName,playerId,age,seasonId,shoots,playerPositionCode,playerTeamsPlayedFor,gamesPlayed,goals,assists,shots,plusMinus,penaltyMinutes,timeOnIcePerGame,shiftsPerGame,
Christian,Ehrhoff,8469555,33.9369863014,20142015,L,D,PIT,49,3,11,110,8,26,1305.5306,26.1428,
Henrik,Sedin,8467876,35.7123287671,20142015,L,C,VAN,82,18,55,101,11,22,1116.7073,23.9268,
Chris,Tierney,8476919,21.9424657534,20142015,L,C,SJS,43,6,15,48,3,6,734.8604,17.7906,
Taylor,Beck,8475192,25.0794520548,20142015,R,L,NSH,62,8,8,78,-4,18,715.7903,17.5161,
Bobby,Farnham,8476769,27.3863013699,20142015,L,L,PIT,11,0,0,6,0,24,430.5454,11.0,
Keith,Yandle,8471735,29.7561643836,20142015,L,D,ARI|NYR,84,6,46,232,-26,40,1374.7857,26.5476,
David,Warsofsky,8474660,26.0328767123,20142015,L,D,BOS,4,0,1,7,1,0,1065.5,23.0,
James,Wisniewski,8470222,32.3068493151,20142015,R,D,CBJ|ANA,69,8,26,147,-13,44,1271.4202,24.6666,
Brett,Kulak,8476967,22.4246575342,20142015,L,D,CGY,1,0,0,0,0,2,1171.0,29.0,
Lucas,Lessio,8476451,23.3780821918,20142015,L,L,ARI,26,2,3,44,-10,8,765.3461,16.5384,
Henrik,Samuelsson,8476868,22.3369863014,20142015,R,C,ARI,3,0,0,4,-2,2,796.0,17.0,
Brandon,Pirri,8475204,25.1698630137,20142015,L,C,FLA,49,22,2,143,6,14,886.1836,18.0612,
Henrik,Zetterberg,8468083,35.6767123288,20142015,L,L,DET,77,17,49,227,-6,32,1146.6623,24.1688,
Kael,Mouillierat,8476147,28.5068493151,20142015,L,L,NYI,6,1,1,1,-3,8,520.6666,13.6666,
Jacob,Josefson,8475185,25.2767123288,20142015,L,C,NJD,62,6,5,61,0,24,745.887,18.0161,
Carl,Soderberg,8471262,30.6657534247,20142015,L,C,BOS,82,13,31,163,10,26,1008.5975,20.7682,
