playerFirstName,playerLastName,playerId,age,seasonId,shoots,playerPositionCode,playerTeamsPlayedFor,gamesPlayed,goals,assists,shots,plusMinus,penaltyMinutes,timeOnIcePerGame,shiftsPerGame,
Justin,Falk,8473992,27.6657534247,20152016,L,D,CBJ,24,0.0,4.8738842144,16,2,17,853.5416,19.875,
Sergey,Kalinin,8478566,25.2356164384,20152016,L,C,NJD,78,9.7477684288,8.5292973752,70,-9,33,799.5641,17.6153,
Julian,Melchiori,8475815,24.5123287671,20152016,L,D,WPG,11,0.0,0.0,12,1,0,815.7272,17.8181,
Mikael,Granlund,8475798,24.2876712329,20152016,L,C,MIN,82,15.8401236968,37.7726026616,160,-12,20,1087.1707,22.6219,
Iiro,Pakarinen,8476336,24.7945205479,20152016,R,R,EDM,63,6.092355268,9.7477684288,76,-10,8,644.9047,16.7142,
Josh,Leivo,8476410,23.0410958904,20152016,R,L,TOR,12,6.092355268,0.0,20,2,6,739.0,17.0,
Cedric,Paquette,8476975,22.8246575342,20152016,L,C,TBL,56,7.3108263216,6.092355268,50,-2,51,764.3571,17.2321,
Dustin,Brown,8470606,31.602739726,20152016,R,R,LAK,82,13.4031815896,20.7140079112,218,-5,30,970.4024,21.6341,
Vincent,Hinostroza,8476994,22.1863013699,20152016,R,C,CHI,7,0.0,0.0,6,-1,6,521.4285,13.0,
John,McFarland,8475756,24.1890410959,20152016,R,L,FLA,3,0.0,0.0,2,-1,0,594.6666,16.3333,
Ben,Hutton,8477018,23.1397260274,20152016,L,D,VAN,75,1.2184710536,29.2433052864,104,-21,14,1192.4,26.24,
Alex,Chiasson,8475163,25.6931506849,20152016,R,R,OTT,77,9.7477684288,7.3108263216,88,2,45,818.2467,20.2467,
Matt,Beleskey,8473492,28.0109589041,20152016,L,L,BOS,80,18.277065804,26.8063631792,168,6,65,951.4125,20.7875,
Magnus,Paajarvi,8475175,25.1643835616,20152016,L,L,STL,48,3.6554131608,7.3108263216,88,-9,8,771.0,19.5,
Duncan,Keith,8470281,32.9095890411,20152016,L,D,CHI,67,10.9662394824,41.4280158224,130,13,26,1514.1194,30.791,
Robby,Fabbri,8477952,20.3808219178,20152016,L,C,STL,72,21.9324789648,23.1509500184,114,-2,25,798.9027,19.0277,
